anio,institucion,acronimo,matricula
2019,Benemérita Universidad Autónoma de Puebla,BUAP,85321
2019,Centro de Investigación y de Estudios Avanzados del IPN,CINVESTAV,2368
2019,Colegio de Posgraduados,COLPOS,968
2019,El Colegio de Mexico,COLMEX,425
2019,Instituto Politécnico Nacional,IPN,120079
2019,Instituto Tecnológico de Sonora,IT Sonora,17597
2019,Universidad Autónoma Agraria Antonio Narro,UAAAN,5862
2019,Universidad Autónoma Benito Juarez de Oaxaca,UABJ Oaxaca,20725
2019,Universidad Autónoma Chapingo,UA Chapingo,6081
2019,Universidad Autónoma de Aguascalientes,UA Aguascalientes,16148
2019,Universidad Autónoma de Baja California,UABC,65528
2019,Universidad Autónoma de Baja California Sur,UABCS,7916
2019,Universidad Autónoma de Campeche,UA Campeche,7346
2019,Universidad Autónoma de Chiapas,UA Chiapas,23275
2019,Universidad Autónoma de Chihuahua,UA Chihuahua,28969
2019,Universidad Autónoma de Ciudad Juarez,UA Cd. Juárez,33999
2019,Universidad Autónoma de Coahuila,UA Coahuila,27103
2019,Universidad Autónoma de Guerrero,UA Guerrero,35582
2019,Universidad Autónoma de la Ciudad de México,UA CDMX,18173
2019,Universidad Autónoma de Nayarit,UA Nayarit,18437
2019,Universidad Autónoma de Nuevo Leon,UANL,123046
2019,Universidad Autónoma de Queretaro,UA Querétaro,23965
2019,Universidad Autónoma de San Luis Potosí,UASLP,31947
2019,Universidad Autónoma de Sinaloa,UA Sinaloa,84148
2019,Universidad Autónoma de Tamaulipas,UA Tamaulipas,37984
2019,Universidad Autónoma de Tlaxcala,UA Tlaxcala,16515
2019,Universidad Autónoma de Yucatan,UA Yucatán,17475
2019,Universidad Autónoma de Zacatecas,UA Zacatecas,27464
2019,Universidad Autónoma del Carmen,UA del Carmen,6365
2019,Universidad Autónoma del Estado de Hidalgo,UAE Hidalgo,32836
2019,Universidad Autónoma del Estado de Mexico,UAE México,67483
2019,Universidad Autónoma del Estado de Morelos,UAE Morelos,28451
2019,Universidad Autónoma Metropolitana,UAM,56002
2019,Universidad de Colima,U de Colima,13504
2019,Universidad de Guadalajara,U de G,130243
2019,Universidad de Guanajuato,U de Guanajuato,27831
2019,Universidad de Quintana Roo,UQRoo,5900
2019,Universidad de Sonora,UNISON,32790
2019,Universidad Juarez Autónoma de Tabasco,UJA Tabasco,32865
2019,Universidad Juarez del Estado de Durango,UJE Durango,14866
2019,Universidad Michoacana de San Nicolas de Hidalgo,UMSNH,40012
2019,Universidad Nacional Autónoma de Mexico,UNAM,248442
2019,Universidad Pedagógica Nacional,UPN,63844
2019,Universidad Veracruzana,U Veracruzana,64587
