fecha,mes,año,tamaño_ejercito,Enfermedades,Heridas,Otras causas
1854-04-01,Abril,1854,8571,1,0,5
1854-05-01,Mayo,1854,23333,12,0,9
1854-06-01,Junio,1854,28333,11,0,6
1854-07-01,Julio,1854,28722,359,0,23
1854-08-01,Agosto,1854,30246,828,1,30
1854-09-01,Septiembre,1854,30290,788,81,70
1854-10-01,Octubre,1854,30643,503,132,128
1854-11-01,Noviembre,1854,29736,844,287,106
1854-12-01,Diciembre,1854,32779,1725,114,131
1855-01-01,Enero,1855,32393,2761,83,324
1855-02-01,Febrero,1855,30919,2120,42,361
1855-03-01,Marzo,1855,30107,1205,32,172
1855-04-01,Abril,1855,32252,477,48,57
1855-05-01,Mayo,1855,35473,508,49,37
1855-06-01,Junio,1855,38863,802,209,31
1855-07-01,Julio,1855,42647,382,134,33
1855-08-01,Agosto,1855,44614,483,164,25
1855-09-01,Septiembre,1855,47751,189,276,20
1855-10-01,Octubre,1855,46852,128,53,18
1855-11-01,Noviembre,1855,37853,178,33,32
1855-12-01,Diciembre,1855,43217,91,18,28
1856-01-01,Enero,1856,44212,42,2,48
1856-02-01,Febrero,1856,43485,24,0,19
1856-03-01,Marzo,1856,46140,15,0,35
