pais,genero,recurso_defendido,num_parcial
México,Hombre,Agua,32
Honduras,NA,Agua,2
Colombia,Hombre,Tierra,159
Honduras,Lgbt,Agua,2
Colombia,No Aplica,Agua,10
México,Hombre,Bosque,63
Brasil,No Aplica,Agua,4
Brasil,Hombre,Especies,1
Colombia,No Aplica,Bosque,1
México,Mujer,Bosque,8
Honduras,NA,Tierra,5
México,No Aplica,Especies,2
México,No Aplica,Tierra,11
Brasil,Hombre,Agua,61
Brasil,Sin Información,Bosque,5
México,Hombre,Tierra,82
Colombia,Mujer,Bosque,2
Brasil,NA,Bosque,2
Brasil,Mujer,Tierra,85
Honduras,Hombre,Especies,1
Colombia,Mujer,Especies,2
México,No Aplica,Agua,6
México,Hombre,Especies,4
Honduras,Mujer,Agua,25
Brasil,NA,Tierra,21
Brasil,Sin Información,Tierra,9
Colombia,Hombre,Especies,3
Honduras,No Aplica,Agua,2
México,No Aplica,Bosque,5
Honduras,No Aplica,Tierra,6
Brasil,Mujer,Agua,17
Colombia,Mujer,Agua,21
Colombia,Mujer,Aire,1
Honduras,Hombre,Bosque,36
Brasil,Hombre,Tierra,468
Colombia,Hombre,Aire,1
Brasil,No Aplica,Tierra,81
Colombia,NA,Bosque,1
México,Mujer,Tierra,21
Colombia,Mujer,Tierra,23
Brasil,No Aplica,Bosque,27
Colombia,NA,Especies,1
Honduras,Hombre,Tierra,369
México,NA,Agua,1
Colombia,Hombre,Bosque,15
México,Mujer,Especies,5
Colombia,No Aplica,Aire,1
Honduras,Mujer,Bosque,7
Brasil,Mujer,Bosque,20
Colombia,No Aplica,Tierra,9
Colombia,Hombre,Agua,46
Honduras,Mujer,Tierra,139
Brasil,Hombre,Bosque,114
Honduras,Hombre,Agua,91
México,Mujer,Agua,5
