entidad,candidato,votos
Aguascalientes,AMLO,222065
Aguascalientes,Meade,103594
Aguascalientes,Anaya,178699
Aguascalientes,El Bronco,40273
Baja California,AMLO,917993
Baja California,Meade,124145
Baja California,Anaya,275089
Baja California,El Bronco,89786
Baja California Sur,AMLO,193746
Baja California Sur,Meade,28194
Baja California Sur,Anaya,56756
Baja California Sur,El Bronco,16765
Campeche,AMLO,275099
Campeche,Meade,96570
Campeche,Anaya,54386
Campeche,El Bronco,11193
Chiapas,AMLO,1484994
Chiapas,Meade,562840
Chiapas,Anaya,198048
Chiapas,El Bronco,39599
Chihuahua,AMLO,642095
Chihuahua,Meade,240572
Chihuahua,Anaya,424949
Chihuahua,El Bronco,132164
Ciudad de México,AMLO,3106489
Ciudad de México,Meade,650513
Ciudad de México,Anaya,1283462
Ciudad de México,El Bronco,222994
Coahuila,AMLO,608614
Coahuila,Meade,358211
Coahuila,Anaya,307066
Coahuila,El Bronco,71017
Colima,AMLO,196874
Colima,Meade,61974
Colima,Anaya,56333
Colima,El Bronco,15741
Durango,AMLO,339462
Durango,Meade,141187
Durango,Anaya,187504
Durango,El Bronco,45939
Estado de México,AMLO,4369786
Estado de México,Meade,1548360
Estado de México,Anaya,1548129
Estado de México,El Bronco,383612
Guanajuato,AMLO,704076
Guanajuato,Meade,381483
Guanajuato,Anaya,938894
Guanajuato,El Bronco,223058
Guerrero,AMLO,1014265
Guerrero,Meade,285698
Guerrero,Anaya,217566
Guerrero,El Bronco,24493
Hidalgo,AMLO,848982
Hidalgo,Meade,257490
Hidalgo,Anaya,187818
Hidalgo,El Bronco,59604
Jalisco,AMLO,1456521
Jalisco,Meade,508739
Jalisco,Anaya,1176775
Jalisco,El Bronco,246726
Michoacán,AMLO,986925
Michoacán,Meade,335648
Michoacán,Anaya,443035
Michoacán,El Bronco,122353
Morelos,AMLO,637258
Morelos,Meade,99451
Morelos,Anaya,142231
Morelos,El Bronco,60051
Nayarit,AMLO,315041
Nayarit,Meade,66401
Nayarit,Anaya,79682
Nayarit,El Bronco,10369
Nuevo León,AMLO,746944
Nuevo León,Meade,315199
Nuevo León,Anaya,701345
Nuevo León,El Bronco,359816
Oaxaca,AMLO,1256686
Oaxaca,Meade,342035
Oaxaca,Anaya,221490
Oaxaca,El Bronco,38990
Puebla,AMLO,1749553
Puebla,Meade,490582
Puebla,Anaya,617705
Puebla,El Bronco,113387
Querétaro,AMLO,423452
Querétaro,Meade,150875
Querétaro,Anaya,347029
Querétaro,El Bronco,72872
Quintana Roo,AMLO,488129
Quintana Roo,Meade,76745
Quintana Roo,Anaya,115848
Quintana Roo,El Bronco,29436
San Luis Potosí,AMLO,526033
San Luis Potosí,Meade,260110
San Luis Potosí,Anaya,334242
San Luis Potosí,El Bronco,82905
Sinaloa,AMLO,833169
Sinaloa,Meade,234353
Sinaloa,Anaya,163697
Sinaloa,El Bronco,29153
Sonora,AMLO,650978
Sonora,Meade,180978
Sonora,Anaya,166939
Sonora,El Bronco,63760
Tabasco,AMLO,961133
Tabasco,Meade,107518
Tabasco,Anaya,91278
Tabasco,El Bronco,9749
Tamaulipas,AMLO,784989
Tamaulipas,Meade,228271
Tamaulipas,Anaya,474605
Tamaulipas,El Bronco,110167
Tlaxcala,AMLO,432507
Tlaxcala,Meade,74728
Tlaxcala,Anaya,66667
Tlaxcala,El Bronco,25936
Veracruz,AMLO,2056061
Veracruz,Meade,471209
Veracruz,Anaya,1050064
Veracruz,El Bronco,132687
Yucatán,AMLO,454791
Yucatán,Meade,324010
Yucatán,Anaya,319946
Yucatán,El Bronco,39102
Zacatecas,AMLO,364910
Zacatecas,Meade,177557
Zacatecas,Anaya,156499
Zacatecas,El Bronco,36167
